,age_head,income_bin,age_group,n,smoothed,add_head
42,62,"[0, 25)",nu18,0.054478079449614865,False,False
43,63,"[0, 25)",nu18,0.027788869868364856,False,False
44,64,"[0, 25)",nu18,0.035667037544607115,False,False
45,65,"[0, 25)",nu18,0.05212054158528577,False,False
46,66,"[0, 25)",nu18,0.03249340523861672,False,False
47,67,"[0, 25)",nu18,0.04690678134153735,False,False
48,68,"[0, 25)",nu18,0.030187405177395373,False,False
49,69,"[0, 25)",nu18,0.03908389106328245,False,False
50,70,"[0, 25)",nu18,0.031812618094094997,False,False
51,71,"[0, 25)",nu18,0.028155515189225534,False,False
52,72,"[0, 25)",nu18,0.009365532901781631,False,False
53,73,"[0, 25)",nu18,0.024109777175146504,False,False
54,74,"[0, 25)",nu18,0.019229804786920598,False,False
55,75,"[0, 25)",nu18,0.01025374908859213,False,False
56,76,"[0, 25)",nu18,0.005839666500832032,False,False
57,77,"[0, 25)",nu18,0.000900018069860862,False,False
58,78,"[0, 25)",nu18,0.013973053531753125,False,False
59,79,"[0, 25)",nu18,0.006183611228957712,False,False
60,20,"[25, 50)",nu18,0.05877947881088475,False,False
61,21,"[25, 50)",nu18,0.07963938763119091,False,False
62,22,"[25, 50)",nu18,0.13499952361028836,False,False
63,23,"[25, 50)",nu18,0.21921704210050463,False,False
64,24,"[25, 50)",nu18,0.2343673648204627,False,False
65,25,"[25, 50)",nu18,0.35340262925946847,False,False
66,26,"[25, 50)",nu18,0.3939693995215448,False,False
67,27,"[25, 50)",nu18,0.5205446380575892,False,False
68,28,"[25, 50)",nu18,0.529020735568444,False,False
69,29,"[25, 50)",nu18,0.6434003583515827,False,False
70,30,"[25, 50)",nu18,0.7570769692890902,False,False
71,31,"[25, 50)",nu18,0.8222113316452939,False,False
72,32,"[25, 50)",nu18,0.8752103068352176,False,False
73,33,"[25, 50)",nu18,0.982036707357253,False,False
74,34,"[25, 50)",nu18,1.0039805028551803,False,False
75,35,"[25, 50)",nu18,0.9356266226103375,False,False
76,36,"[25, 50)",nu18,0.9984176870536617,False,False
77,37,"[25, 50)",nu18,1.0790169658390125,False,False
78,38,"[25, 50)",nu18,1.058510809926295,False,False
79,39,"[25, 50)",nu18,1.003090398517116,False,False
80,40,"[25, 50)",nu18,0.9184800884620627,False,False
81,41,"[25, 50)",nu18,0.9095915202055181,False,False
82,42,"[25, 50)",nu18,0.8613052241331117,False,False
83,43,"[25, 50)",nu18,0.7407561927337244,False,False
84,44,"[25, 50)",nu18,0.6696989620182462,False,False
85,45,"[25, 50)",nu18,0.6444685858079849,False,False
86,46,"[25, 50)",nu18,0.5879810282858547,False,False
87,47,"[25, 50)",nu18,0.5341604811182749,False,False
88,48,"[25, 50)",nu18,0.4829016958207694,False,False
89,49,"[25, 50)",nu18,0.41187214998898136,False,False
90,50,"[25, 50)",nu18,0.37092036940050055,False,False
91,51,"[25, 50)",nu18,0.30237189810185744,False,False
92,52,"[25, 50)",nu18,0.2483023587073265,False,False
93,53,"[25, 50)",nu18,0.23446883836533441,False,False
94,54,"[25, 50)",nu18,0.22179406138464638,False,False
95,55,"[25, 50)",nu18,0.13478797552246718,False,False
96,56,"[25, 50)",nu18,0.15040576830515814,False,False
97,57,"[25, 50)",nu18,0.11577356933170699,False,False
98,58,"[25, 50)",nu18,0.10266958123203497,False,False
99,59,"[25, 50)",nu18,0.09643012234018658,False,False
100,60,"[25, 50)",nu18,0.0809027735109429,False,False
101,61,"[25, 50)",nu18,0.056862534068139445,False,False
102,62,"[25, 50)",nu18,0.0721671214890714,False,False
103,63,"[25, 50)",nu18,0.048723769063634535,False,False
104,64,"[25, 50)",nu18,0.05137713473606746,False,False
105,65,"[25, 50)",nu18,0.0320864685886432,False,False
106,66,"[25, 50)",nu18,0.02799306792470996,False,False
107,67,"[25, 50)",nu18,0.034512080361900656,False,False
108,68,"[25, 50)",nu18,0.01833675786741646,False,False
109,69,"[25, 50)",nu18,0.03192861183283319,False,False
