,index,income_bin,age_head,nu18,n1864,n65,nu18smooth,nu1864smooth,nu65smooth
0,20,"[0, 25)",20,0.0567431198210972,1.0014343903895844,0.0,0.09402343931709875,0.9911381957707753,0.0001775297106151679
1,21,"[0, 25)",21,0.1245358698019314,1.0091130413678555,0.0,0.1440308753605484,1.0020431321464303,0.0002769821918110914
2,22,"[0, 25)",22,0.1452648416917296,1.0200945467279021,0.0,0.19294861430830423,1.0130166921882426,0.0003764918021310287
3,23,"[0, 25)",23,0.2276516713075769,1.0262776385446133,0.0006790032990703769,0.2406970550913635,1.0240543511825875,0.0004767297109192246
4,24,"[0, 25)",24,0.3020650708024275,1.0337554787592718,0.0014824258260283212,0.28722591487027804,1.0351460786439963,0.0005786783960243501
5,25,"[0, 25)",25,0.3605580910329898,1.0315796189413915,0.0012814885947515064,0.3325113708862805,1.0462777996145984,0.0006833756473455323
6,26,"[0, 25)",26,0.4340098404514896,1.0540524403056626,0.0004788177679283955,0.3765510146871995,1.0574337225370904,0.0007915831471884523
7,27,"[0, 25)",27,0.5373797759544772,1.0534088557216297,0.0,0.419359037773653,1.0686005581154492,0.0009037585618123785
8,28,"[0, 25)",28,0.5158346419899679,1.064322694275087,0.0015121336329506313,0.46095152765774866,1.0797669023973484,0.0010203020988313759
9,29,"[0, 25)",29,0.73264967103784,1.087593482168208,0.003676975989166925,0.5013648684375132,1.0909301620438947,0.001141649917772184
10,30,"[0, 25)",30,0.7322062411484078,1.1136614112383234,0.0003331618964132525,0.5408400907661328,1.1021158560198099,0.0012669438577538282
11,31,"[0, 25)",31,0.8365154773488583,1.1110697727662984,0.00035432866982291745,0.580374711937204,1.1134621217809704,0.0013910552386043786
12,32,"[0, 25)",32,0.8612425094233647,1.1388923438680376,0.0008798195322554672,0.6070608039375677,1.1253444857985537,0.0015528160857483618
13,33,"[0, 25)",33,0.8502277620647475,1.1256884059976422,0.0003888283122360534,0.6331834908981798,1.1371581077353599,0.0017226721832502903
14,34,"[0, 25)",34,1.0457085594848323,1.1522937434902898,0.0,0.6585025135834642,1.148641602887168,0.0018969773578735288
15,35,"[0, 25)",35,0.932339567212746,1.1482876158749569,0.0013212732013465742,0.6868337184353815,1.1596562489532434,0.002074804191657062
16,36,"[0, 25)",36,0.944247709092494,1.1866737439507122,0.002297523002470304,0.7263797739239165,1.1701016563915179,0.0022653177898007432
17,37,"[0, 25)",37,0.9093562858185408,1.2090990209215542,0.004420111430349899,0.783174408684449,1.179879419068401,0.0024861336230036996
18,38,"[0, 25)",38,0.8334120649566568,1.1886138735345182,0.004676351678824057,0.8370907676322089,1.1888435222661142,0.0027502862581519753
19,39,"[0, 25)",39,0.8758722394643961,1.2128192781806248,0.0036089379615459796,0.8446003683402372,1.196836882438395,0.0030686811818322287
20,40,"[0, 25)",40,0.8298763616516446,1.2122273854014267,0.0014963954607821585,0.8057799397647146,1.2038437116111613,0.0034490270852616874
21,41,"[0, 25)",41,0.7686513980688344,1.243867485836101,0.0028133719007494558,0.7564836587770711,1.2099714118735756,0.003885102041028627
22,42,"[0, 25)",42,0.7255204895681586,1.2318142863232848,0.003552985345589197,0.7056948318512938,1.2153127901808538,0.00437248582249253
23,43,"[0, 25)",43,0.7021406683730488,1.2196070514438155,0.007358592595262987,0.6546580879493509,1.2198335717434214,0.004901025874565595
24,44,"[0, 25)",44,0.5973281026502161,1.218622085569979,0.0006533503485747795,0.6042583672417761,1.2234584975105673,0.005460839485703817
25,45,"[0, 25)",45,0.5258337784129359,1.253599323576024,0.003385030481282644,0.5550459934612623,1.2260908424882957,0.0060597681811545775
26,46,"[0, 25)",46,0.5650796094202137,1.245385288279794,0.00554609087181825,0.5072927764253969,1.2277843607547287,0.006715901801097445
27,47,"[0, 25)",47,0.4206771791238279,1.2420463110923508,0.008731570536979528,0.46118575081733926,1.2286656859496001,0.007455658363649813
28,48,"[0, 25)",48,0.3189630763288616,1.2209031336259657,0.006574791887798736,0.41672009746114635,1.2288877010466583,0.008301590981371638
29,49,"[0, 25)",49,0.3212811452361781,1.2055985361898198,0.007943123106379546,0.3738507110903703,1.228546656055558,0.009262126207720066
30,50,"[0, 25)",50,0.272122671063479,1.229699587798846,0.011107666941467436,0.3327247735800013,1.2277758414671094,0.010336483450610733
31,51,"[0, 25)",51,0.2565664431387605,1.24229602004561,0.009216964967664651,0.29375729863382416,1.2268018824484062,0.011529403394645664
32,52,"[0, 25)",52,0.22189840899769012,1.2463665457763962,0.015351445286358827,0.257366578722304,1.2257980558708097,0.01285357087455858
33,53,"[0, 25)",53,0.1838080158151391,1.2288454384416931,0.011137478629551587,0.22393084143029016,1.2248547675408916,0.014304040787760998
34,54,"[0, 25)",54,0.1518438628071433,1.223297437976393,0.00972813521706706,0.19384619494589955,1.223929555621898,0.018690209441671976
35,55,"[0, 25)",55,0.1498298251306515,1.193117065122091,0.02862803846711448,0.1674103903533799,1.2228823695202442,0.03615385553472584
36,56,"[0, 25)",56,0.10215121567701443,1.2209980331282384,0.023501836730860568,0.1447068142867624,1.2214662269341345,0.06005015445426304
37,57,"[0, 25)",57,0.11857720931548715,1.2167647641416,0.02622739749285492,0.12554585463249957,1.2191446909119914,0.08058797972362072
38,58,"[0, 25)",58,0.09063448018058172,1.2118197633459378,0.02865440743030495,0.10941673453381501,1.2153300269936125,0.09755740500809978
39,59,"[0, 25)",59,0.08075074881590441,1.2122966135091033,0.038262657198896585,0.0956103762018886,1.209774913992999,0.11281112970124195
40,60,"[0, 25)",60,0.059075507074510376,1.2348715913687744,0.06181025638659327,0.08365692447032821,1.2026346700407937,0.12752567095149284
41,61,"[0, 25)",61,0.03972481768459435,1.2257593310037476,0.06882723083156082,0.07341600924516499,1.1943564983574604,0.1423082514636288
42,62,"[0, 25)",62,0.05447807944961487,1.2240915891372373,0.0981597463229551,0.06467569789810852,1.185367188768487,0.15750536131644205
43,63,"[0, 25)",63,0.027788869868364856,1.2340595083908288,0.12374953557898975,0.0572526085414185,1.175906245934488,0.1733553991865239
44,64,"[0, 25)",64,0.03566703754460712,1.2257374591242758,0.15010210450616698,0.05092283382478834,1.1660820690766656,0.19005335757033348
45,65,"[0, 25)",65,0.05212054158528577,0.17905947154878527,1.2079001267590577,0.0454803633243806,0.15588110356264473,0.20689253651722206
46,66,"[0, 25)",66,0.03249340523861672,0.17904174501174314,1.2477236881073897,0.040789695350186395,0.14531896897072616,1.2223092037593466
47,67,"[0, 25)",67,0.04690678134153735,0.10420266781492624,1.3087024100230975,0.03674775240038477,0.13431739889478136,1.2367829503689456
48,68,"[0, 25)",68,0.030187405177395377,0.10250039498146292,1.360660279149091,0.033265968599761865,0.12274225655743676,1.2510398622404093
49,69,"[0, 25)",69,0.03908389106328245,0.08350711150679474,1.317415332634221,0.030283603475077026,0.11062547791900727,1.265257216746643
50,70,"[0, 25)",70,0.031812618094095,0.0782968306218731,1.3749800948317865,0.02769167208182832,0.09988124189288677,1.2793938703877301
51,71,"[0, 25)",71,0.02815551518922553,0.08439378581536082,1.356889094065815,0.025221220241023218,0.08957889493017257,1.2935366802966897
52,72,"[0, 25)",72,0.009365532901781631,0.04814061482665289,1.3488035471182356,0.022780667174265017,0.0795210819344139,1.307681547673954
53,73,"[0, 25)",73,0.024109777175146504,0.04077072143110703,1.3757645237693423,0.02033583497364345,0.06966554695575602,1.321829082726483
54,74,"[0, 25)",74,0.0192298047869206,0.05873631815845234,1.415764992038516,0.017877276047104897,0.06000523383929609,1.3359791813120103
55,75,"[0, 25)",75,0.01025374908859213,0.0315002266203354,1.3577021354861172,0.015401940836228045,0.05054484413592865,1.3501304029236725
56,76,"[0, 25)",76,0.005839666500832032,0.06064744128596181,1.3591566451081643,0.012910107594296307,0.04129031242331926,1.364277500229856
57,77,"[0, 25)",77,0.0009000180698608619,0.0326126238827961,1.4277101316319865,0.01040610063275295,0.03224936030628134,1.3784078376893905
